id,ts,price,vol24h,scrape_batch
4172,1650003540,81.90780327814528,1872783532.6894257,2022-04-16 01:11:33
4172,1650003840,81.7926945505009,1873421550.9688573,2022-04-16 01:11:33
4172,1650004140,81.72990979947383,1872608793.1342013,2022-04-16 01:11:33
4172,1650004440,81.63821977382166,1869269106.1442628,2022-04-16 01:11:33
4172,1650004740,81.60557306687915,1868136313.1223726,2022-04-16 01:11:33
4172,1650005040,81.25447610775073,1873154736.3205373,2022-04-16 01:11:33
4172,1650005340,81.26367279837388,1870087649.8870509,2022-04-16 01:11:33
4172,1650005640,81.41971922657062,1873415879.677885,2022-04-16 01:11:33
4172,1650005940,81.46125557599981,1874134391.7182386,2022-04-16 01:11:33
4172,1650006240,81.52640748290665,1874419229.2365494,2022-04-16 01:11:33
4172,1650006540,81.52850031698672,1877417768.3936348,2022-04-16 01:11:33
4172,1650006840,81.4546633958297,1873651368.0546737,2022-04-16 01:11:33
4172,1650007140,81.47799691326908,1874431771.0141518,2022-04-16 01:11:33
4172,1650007440,81.40002709544021,1871139690.5175338,2022-04-16 01:11:33
4172,1650007740,81.21979642668586,1871046488.8715196,2022-04-16 01:11:33
4172,1650008040,81.1919584398375,1869864451.7710974,2022-04-16 01:11:33
4172,1650008340,81.49366475568085,1876038018.8210814,2022-04-16 01:11:33
4172,1650008640,81.55087459264838,1877734727.0033073,2022-04-16 01:11:33
4172,1650008940,81.85946414937864,1883332048.5834937,2022-04-16 01:11:33
4172,1650009240,81.99961727059662,1888824688.1262546,2022-04-16 01:11:33
4172,1650009540,82.14514418996366,1896456251.2240138,2022-04-16 01:11:33
4172,1650009840,82.07240907592292,1902536275.969879,2022-04-16 01:11:33
4172,1650010140,82.04157628953062,1901747077.4054005,2022-04-16 01:11:33
4172,1650010440,81.94113779798582,1903800884.5674212,2022-04-16 01:11:33
4172,1650010740,81.85396593983657,1904451402.538843,2022-04-16 01:11:33
4172,1650011040,81.8116249770894,1904413983.706225,2022-04-16 01:11:33
4172,1650011340,81.63789993331686,1903173210.2747796,2022-04-16 01:11:33
4172,1650011640,81.74528591368859,1897365499.9651465,2022-04-16 01:11:33
4172,1650011940,81.86089669246743,1897290871.0721395,2022-04-16 01:11:33
4172,1650012240,81.90076375342724,1897643380.4575953,2022-04-16 01:11:33
4172,1650012540,81.86357124021556,1893037958.519031,2022-04-16 01:11:33
4172,1650012840,81.78784274549848,1890580333.7040095,2022-04-16 01:11:33
4172,1650013140,81.74545204187304,1889850508.1318974,2022-04-16 01:11:33
4172,1650013440,81.87723513678974,1888001001.6521645,2022-04-16 01:11:33
4172,1650013740,81.73608060986128,1889221807.129689,2022-04-16 01:11:33
4172,1650014040,81.65405344738753,1880717729.7817307,2022-04-16 01:11:33
4172,1650014340,81.611383932669,1876539906.9411767,2022-04-16 01:11:33
4172,1650014640,81.51503940379796,1876047135.7835715,2022-04-16 01:11:33
4172,1650014940,81.4407568381796,1867281596.3939238,2022-04-16 01:11:33
4172,1650015240,81.52022491729338,1863999134.0496862,2022-04-16 01:11:33
4172,1650015540,81.53508591261517,1861640354.6580553,2022-04-16 01:11:33
4172,1650015840,81.41544804226717,1857947192.2651124,2022-04-16 01:11:33
4172,1650016140,81.32425663347044,1855347352.5560555,2022-04-16 01:11:33
4172,1650016440,81.51785015487434,1856075205.7257168,2022-04-16 01:11:33
4172,1650016740,81.50548752481606,1851518948.4437923,2022-04-16 01:11:33
4172,1650017040,81.39568084506767,1847795497.544699,2022-04-16 01:11:33
4172,1650017340,81.55627036787719,1849406685.034116,2022-04-16 01:11:33
4172,1650017640,81.68203558585503,1851182154.916063,2022-04-16 01:11:33
4172,1650017940,81.55456755098227,1846710292.8686645,2022-04-16 01:11:33
4172,1650018240,81.58735731858704,1844136804.0846543,2022-04-16 01:11:33
4172,1650018540,81.79697239642553,1845852962.2235672,2022-04-16 01:11:33
4172,1650018840,81.72068200708985,1845446077.2598987,2022-04-16 01:11:33
4172,1650019140,81.71030840049801,1844872531.0254316,2022-04-16 01:11:33
4172,1650019440,81.88077549559452,1847394173.5436656,2022-04-16 01:11:33
4172,1650019740,81.91278042621855,1843593238.0855572,2022-04-16 01:11:33
4172,1650020040,81.80484848665478,1830987708.4036844,2022-04-16 01:11:33
4172,1650020340,81.78092043391513,1827395519.5685878,2022-04-16 01:11:33
4172,1650020640,81.78720336562345,1824646675.1675403,2022-04-16 01:11:33
4172,1650020940,81.82920007804142,1821224891.0073807,2022-04-16 01:11:33
4172,1650021240,81.9429487476327,1818079471.1914587,2022-04-16 01:11:33
4172,1650021540,81.92333040082079,1816378018.556569,2022-04-16 01:11:33
4172,1650021840,81.84309779227134,1814023975.6765296,2022-04-16 01:11:33
4172,1650022140,81.90156061073806,1811220311.6941836,2022-04-16 01:11:33
4172,1650022440,81.74867908410113,1797216209.1618361,2022-04-16 01:11:33
4172,1650022740,81.79473533556012,1793519156.649778,2022-04-16 01:11:33
4172,1650023040,81.93404473130481,1791855620.9193146,2022-04-16 01:11:33
